Borough,City,Student_Enrollment,Percent_White,Percent_Black,Percent_Asian,Average_Score_SAT_Math,Average_Score_SAT_Reading,Average_Score_SAT_Writing,Percent_Tested,Average_SAT
Bronx,Bronx,449,0.05,0.25,0.09,451,417,423,0.93,430.33
Bronx,Bronx,583,0.03,0.36,0.03,423,420,425,0.69,422.67
Bronx,Bronx,1381,0.24,0.12,0.08,496,485,476,0.69,485.67
Bronx,Bronx,408,0.08,0.09,0.14,407,363,358,0.93,376.00
Bronx,Bronx,423,0.04,0.62,0.03,392,408,392,0.43,397.33
Bronx,Bronx,371,0.01,0.64,0.03,392,408,400,0.63,400.00
Bronx,Bronx,493,0.01,0.38,0.01,367,381,361,0.41,369.67
Bronx,Bronx,431,0.02,0.29,0.02,403,410,393,0.51,402.00
Bronx,Bronx,465,0.02,0.45,0.05,386,380,391,0.59,385.67
Bronx,Bronx,567,0.01,0.34,0.05,396,399,377,0.66,390.67
Bronx,Bronx,471,0.02,0.4,0.04,407,416,401,0.77,408.00
Bronx,Bronx,389,0.01,0.45,0.03,380,437,425,0.38,414.00
Bronx,Bronx,486,0.03,0.2,0.02,372,361,369,0.47,367.33
Bronx,Bronx,3015,0.22,0.03,0.63,714,660,667,0.97,680.33
Bronx,Bronx,461,0.02,0.05,0.07,366,311,310,0.51,329.00
Bronx,Bronx,530,0.02,0.17,0.03,432,396,395,0.4,407.67
Bronx,Bronx,430,0.01,0.25,0.01,417,434,425,0.76,425.33
Bronx,Bronx,376,0.51,0.04,0.23,669,672,672,0.92,671.00
Bronx,Bronx,2109,0.04,0.32,0.09,445,436,433,0.32,438.00
Bronx,Bronx,561,0.01,0,0,390,387,379,0.19,385.33
Bronx,Bronx,476,0.11,0.33,0.07,422,417,409,0.58,416.00
Bronx,Bronx,489,0.07,0.36,0.06,420,433,425,0.77,426.00
Bronx,Bronx,354,0.11,0.12,0.17,356,340,320,0.73,338.67
Bronx,Bronx,687,0.1,0.34,0.12,488,461,458,0.8,469.00
Bronx,Bronx,427,0.09,0.29,0.03,418,432,436,0.73,428.67
Bronx,Bronx,428,0,0,0,317,315,292,0.66,308.00
Bronx,Bronx,338,0.04,0.22,0.04,430,449,448,0.88,442.33
Bronx,Bronx,445,0.01,0.18,0.01,361,354,351,0.47,355.33
Bronx,Bronx,669,0.02,0.22,0.04,430,422,414,0.78,422.00
Bronx,Bronx,416,0.02,0.26,0.03,444,428,422,0.52,431.33
Bronx,Bronx,410,0.01,0.08,0.08,356,359,347,0.38,354.00
Bronx,Bronx,487,0.02,0.3,0.02,396,413,395,0.39,401.33
Bronx,Bronx,326,0.01,0.32,0.04,365,393,357,0.41,371.67
Bronx,Bronx,637,0.02,0.31,0.06,418,430,403,0.51,417.00
Bronx,Bronx,315,0.01,0.26,0.04,394,384,383,0.44,387.00
Bronx,Bronx,345,0.03,0.5,0.04,386,390,389,0.45,388.33
Bronx,Bronx,307,0.03,0.25,0.02,389,408,413,0.31,403.33
Bronx,Bronx,450,0.01,0.26,0.06,435,415,423,0.45,424.33
Bronx,Bronx,374,0.03,0.52,0.08,407,421,427,0.87,418.33
Bronx,Bronx,2058,0.02,0.52,0.02,400,401,391,0.42,397.33
Queens,Long Island City,1553,0.07,0.06,0.12,467,436,432,0.53,445.00
Queens,Long Island City,421,0.14,0.13,0.16,435,437,441,0.71,437.67
Queens,Long Island City,514,0.07,0.05,0.08,377,389,377,0.49,381.00
Queens,Long Island City,515,0.21,0.16,0.06,444,458,444,0.95,448.67
Queens,Long Island City,2168,0.11,0.06,0.31,511,464,456,0.79,477.00
Queens,Long Island City,874,0.28,0.07,0.29,495,482,479,0.85,485.33
Queens,Long Island City,993,0.06,0.02,0.37,490,374,381,0.47,415.00
Queens,Long Island City,623,0.35,0.11,0.34,631,598,610,0.94,613.00
Queens,Long Island City,509,0.13,0.03,0.39,425,367,365,0.72,385.67
Queens,Long Island City,970,0.09,0.15,0.18,443,420,411,0.59,424.67
Queens,Long Island City,610,0.11,0.05,0.19,478,445,445,0.71,456.00
Queens,Long Island City,478,0.15,0.07,0.22,489,456,459,0.93,468.00
Queens,Astoria,572,0.2,0.05,0.38,483,464,477,1,474.67
Queens,Astoria,2496,0.16,0.06,0.28,466,424,426,0.57,438.67
Queens,Astoria,2123,0.09,0.14,0.16,430,423,412,0.52,421.67
Queens,Astoria,808,0.39,0.14,0.11,536,543,543,0.9,540.67
Queens,Astoria,478,0.35,0.03,0.4,633,620,628,0.99,627.00
Brooklyn,Brooklyn,528,0.02,0.71,0.07,399,397,386,0.66,394.00
Brooklyn,Brooklyn,345,0.14,0.18,0.42,432,334,333,0.93,366.33
Brooklyn,Brooklyn,466,0.1,0.48,0.04,417,406,394,0.65,405.67
Brooklyn,Brooklyn,250,0.07,0.55,0.02,393,381,402,0.62,392.00
Brooklyn,Brooklyn,458,0.04,0.7,0.07,503,477,427,0.19,469.00
Brooklyn,Brooklyn,470,0.05,0.74,0.04,397,415,407,0.82,406.33
Brooklyn,Brooklyn,448,0.01,0.71,0.02,446,443,430,0.88,439.67
Brooklyn,Brooklyn,596,0.04,0.64,0.05,416,420,402,0.55,412.67
Brooklyn,Brooklyn,634,0.02,0.74,0.03,394,422,400,0.45,405.33
